date,modal_price,seasonal_price,deseasonalized_price,APMC_commodity
2016-05-01,1538.0,-3.254629629629587,1541.2546296296296,umarkhed-danki+wheat(husked)
2016-06-01,1575.0,5.710648148148089,1569.289351851852,umarkhed-danki+wheat(husked)
2016-07-01,1519.0,0.7314814814814603,1518.2685185185185,umarkhed-danki+wheat(husked)
2016-08-01,1550.0,0.21064814814820276,1549.7893518518517,umarkhed-danki+wheat(husked)
2016-09-01,1550.0,-18.72685185185191,1568.726851851852,umarkhed-danki+wheat(husked)
2016-10-01,1519.0,15.328703703703745,1503.6712962962963,umarkhed-danki+wheat(husked)
2016-11-01,1550.0,-3.254629629629587,1553.2546296296296,umarkhed-danki+wheat(husked)
2014-09-01,3300.0,0.9630146156987168,3426.7392687552097,umarkhed-danki+soybean
2014-10-01,3330.0,1.010461560535138,3295.5236795315996,umarkhed-danki+soybean
2014-11-01,2980.0,1.024278820447412,2909.36407207787,umarkhed-danki+soybean
2014-12-01,3047.0,1.0004046085448235,3045.7676563806813,umarkhed-danki+soybean
2015-01-01,3183.0,1.0068897214352763,3161.220074292521,umarkhed-danki+soybean
2015-02-01,3067.0,0.9949506733386331,3082.564877018925,umarkhed-danki+soybean
2015-03-01,3130.0,0.9630146156987168,3250.2102761223655,umarkhed-danki+soybean
2015-04-01,3150.0,1.010461560535138,3117.3872644217836,umarkhed-danki+soybean
2015-05-01,3460.0,1.024278820447412,3377.986472949473,umarkhed-danki+soybean
2015-06-01,3383.0,1.0004046085448235,3381.631762893287,umarkhed-danki+soybean
2015-07-01,3250.0,1.0068897214352763,3227.7616215679213,umarkhed-danki+soybean
2015-08-01,3233.0,0.9949506733386331,3249.4073190095155,umarkhed-danki+soybean
2015-09-01,3241.0,0.9630146156987168,3365.4733242532225,umarkhed-danki+soybean
2015-10-01,3539.0,1.010461560535138,3502.3598504091087,umarkhed-danki+soybean
2015-11-01,3500.0,1.024278820447412,3417.0383396887732,umarkhed-danki+soybean
2015-12-01,3531.0,1.0004046085448235,3529.5719050476487,umarkhed-danki+soybean
2016-01-01,3491.0,1.0068897214352763,3467.112560274958,umarkhed-danki+soybean
2016-02-01,3455.0,0.9949506733386331,3472.533958298137,umarkhed-danki+soybean
2016-03-01,3385.0,0.9630146156987168,3515.0037650716317,umarkhed-danki+soybean
2016-04-01,3650.0,1.010461560535138,3612.2106397268285,umarkhed-danki+soybean
2016-05-01,3595.0,1.024278820447412,3509.7865231946116,umarkhed-danki+soybean
2016-06-01,3600.0,1.0004046085448235,3598.5439983493447,umarkhed-danki+soybean
2016-07-01,3700.0,1.0068897214352763,3674.682461477326,umarkhed-danki+soybean
2016-08-01,3642.0,0.9949506733386331,3660.482974275489,umarkhed-danki+soybean
2016-09-01,3600.0,0.9630146156987168,3738.2610204602283,umarkhed-danki+soybean
2016-10-01,2761.0,1.010461560535138,2732.4146784344584,umarkhed-danki+soybean
2016-11-01,2717.0,1.024278820447412,2652.5980482669706,umarkhed-danki+soybean
2014-09-01,3017.0,-121.94212962962948,3138.9421296296296,shirur+ground nut pods (dry)
2014-10-01,2800.0,-101.30324074074095,2901.303240740741,shirur+ground nut pods (dry)
2014-11-01,2775.0,171.03009259259267,2603.9699074074074,shirur+ground nut pods (dry)
2014-12-01,3067.0,42.65509259259254,3024.3449074074074,shirur+ground nut pods (dry)
2015-01-01,2925.0,-141.74074074074082,3066.740740740741,shirur+ground nut pods (dry)
2015-02-01,3250.0,151.30092592592604,3098.699074074074,shirur+ground nut pods (dry)
2015-03-01,2860.0,-121.94212962962948,2981.9421296296296,shirur+ground nut pods (dry)
2015-04-01,2800.0,-101.30324074074095,2901.303240740741,shirur+ground nut pods (dry)
2015-05-01,3200.0,171.03009259259267,3028.9699074074074,shirur+ground nut pods (dry)
2015-06-01,2807.0,42.65509259259254,2764.3449074074074,shirur+ground nut pods (dry)
2015-07-01,3313.0,-141.74074074074082,3454.740740740741,shirur+ground nut pods (dry)
2015-08-01,3745.0,151.30092592592604,3593.699074074074,shirur+ground nut pods (dry)
2015-09-01,3600.0,-121.94212962962948,3721.9421296296296,shirur+ground nut pods (dry)
2015-10-01,3650.0,-101.30324074074095,3751.303240740741,shirur+ground nut pods (dry)
2015-11-01,3967.0,171.03009259259267,3795.9699074074074,shirur+ground nut pods (dry)
2015-12-01,4100.0,42.65509259259254,4057.3449074074074,shirur+ground nut pods (dry)
2016-01-01,3501.0,-141.74074074074082,3642.740740740741,shirur+ground nut pods (dry)
2016-02-01,3400.0,151.30092592592604,3248.699074074074,shirur+ground nut pods (dry)
2016-03-01,3542.0,-121.94212962962948,3663.9421296296296,shirur+ground nut pods (dry)
2016-04-01,3750.0,-101.30324074074095,3851.303240740741,shirur+ground nut pods (dry)
2016-05-01,4000.0,171.03009259259267,3828.9699074074074,shirur+ground nut pods (dry)
2016-06-01,4000.0,42.65509259259254,3957.3449074074074,shirur+ground nut pods (dry)
2016-07-01,3625.0,-141.74074074074082,3766.740740740741,shirur+ground nut pods (dry)
2016-08-01,4350.0,151.30092592592604,4198.699074074074,shirur+ground nut pods (dry)
2016-09-01,3867.0,-121.94212962962948,3988.9421296296296,shirur+ground nut pods (dry)
2016-10-01,3481.0,-101.30324074074095,3582.303240740741,shirur+ground nut pods (dry)
2016-11-01,4600.0,171.03009259259267,4428.969907407407,shirur+ground nut pods (dry)
2014-09-01,1401.0,-5.052083333333328,1406.0520833333333,karjat (raigad)+paddy-unhusked
2014-10-01,1400.0,-3.607638888888984,1403.607638888889,karjat (raigad)+paddy-unhusked
2014-11-01,1400.0,25.67013888888892,1374.329861111111,karjat (raigad)+paddy-unhusked
2014-12-01,1400.0,-3.239583333333346,1403.2395833333333,karjat (raigad)+paddy-unhusked
2015-01-01,1400.0,-5.343749999999975,1405.34375,karjat (raigad)+paddy-unhusked
2015-02-01,1400.0,-8.42708333333329,1408.4270833333333,karjat (raigad)+paddy-unhusked
2015-03-01,1400.0,-5.052083333333328,1405.0520833333333,karjat (raigad)+paddy-unhusked
